idx,t_unix,t_monotonic,rgb_file,depth_file,left_file,right_file,rgb_seq,depth_seq,left_seq,right_seq,rgb_t_device,depth_t_device,left_t_device,right_t_device,rgb_latency_ms,depth_latency_ms,skew_ms,exposure_ms,rgb_encoding,rgb_frame_type
12,1785000000.366667,0.366667,rgb/1785000000.366667.png,depth/1785000000.366667.png,left/1785000000.366667.png,right/1785000000.366667.png,11,11,11,11,1785000000.366667,1785000000.366667,1785000000.366667,1785000000.366667,,,0.000,,raw,
13,1785000000.400000,0.400000,rgb/1785000000.400000.png,depth/1785000000.400000.png,left/1785000000.400000.png,right/1785000000.400000.png,12,12,12,12,1785000000.400000,1785000000.400000,1785000000.400000,1785000000.400000,,,0.000,,raw,
14,1785000000.433333,0.433333,rgb/1785000000.433333.png,depth/1785000000.433333.png,left/1785000000.433333.png,right/1785000000.433333.png,13,13,13,13,1785000000.433333,1785000000.433333,1785000000.433333,1785000000.433333,,,0.000,,raw,
15,1785000000.466667,0.466667,rgb/1785000000.466667.png,depth/1785000000.466667.png,left/1785000000.466667.png,right/1785000000.466667.png,14,14,14,14,1785000000.466667,1785000000.466667,1785000000.466667,1785000000.466667,,,0.000,,raw,
16,1785000000.500000,0.500000,rgb/1785000000.500000.png,depth/1785000000.500000.png,left/1785000000.500000.png,right/1785000000.500000.png,15,15,15,15,1785000000.500000,1785000000.500000,1785000000.500000,1785000000.500000,,,0.000,,raw,
17,1785000000.533333,0.533333,rgb/1785000000.533333.png,depth/1785000000.533333.png,left/1785000000.533333.png,right/1785000000.533333.png,16,16,16,16,1785000000.533333,1785000000.533333,1785000000.533333,1785000000.533333,,,0.000,,raw,
18,1785000000.566667,0.566667,rgb/1785000000.566667.png,depth/1785000000.566667.png,left/1785000000.566667.png,right/1785000000.566667.png,17,17,17,17,1785000000.566667,1785000000.566667,1785000000.566667,1785000000.566667,,,0.000,,raw,
19,1785000000.600000,0.600000,rgb/1785000000.600000.png,depth/1785000000.600000.png,left/1785000000.600000.png,right/1785000000.600000.png,18,18,18,18,1785000000.600000,1785000000.600000,1785000000.600000,1785000000.600000,,,0.000,,raw,
20,1785000000.633333,0.633333,rgb/1785000000.633333.png,depth/1785000000.633333.png,left/1785000000.633333.png,right/1785000000.633333.png,19,19,19,19,1785000000.633333,1785000000.633333,1785000000.633333,1785000000.633333,,,0.000,,raw,
21,1785000000.666667,0.666667,rgb/1785000000.666667.png,depth/1785000000.666667.png,left/1785000000.666667.png,right/1785000000.666667.png,20,20,20,20,1785000000.666667,1785000000.666667,1785000000.666667,1785000000.666667,,,0.000,,raw,
22,1785000000.700000,0.700000,rgb/1785000000.700000.png,depth/1785000000.700000.png,left/1785000000.700000.png,right/1785000000.700000.png,21,21,21,21,1785000000.700000,1785000000.700000,1785000000.700000,1785000000.700000,,,0.000,,raw,
23,1785000000.733333,0.733333,rgb/1785000000.733333.png,depth/1785000000.733333.png,left/1785000000.733333.png,right/1785000000.733333.png,22,22,22,22,1785000000.733333,1785000000.733333,1785000000.733333,1785000000.733333,,,0.000,,raw,
24,1785000000.766667,0.766667,rgb/1785000000.766667.png,depth/1785000000.766667.png,left/1785000000.766667.png,right/1785000000.766667.png,23,23,23,23,1785000000.766667,1785000000.766667,1785000000.766667,1785000000.766667,,,0.000,,raw,
25,1785000000.800000,0.800000,rgb/1785000000.800000.png,depth/1785000000.800000.png,left/1785000000.800000.png,right/1785000000.800000.png,24,24,24,24,1785000000.800000,1785000000.800000,1785000000.800000,1785000000.800000,,,0.000,,raw,
26,1785000000.833333,0.833333,rgb/1785000000.833333.png,depth/1785000000.833333.png,left/1785000000.833333.png,right/1785000000.833333.png,25,25,25,25,1785000000.833333,1785000000.833333,1785000000.833333,1785000000.833333,,,0.000,,raw,
27,1785000000.866667,0.866667,rgb/1785000000.866667.png,depth/1785000000.866667.png,left/1785000000.866667.png,right/1785000000.866667.png,26,26,26,26,1785000000.866667,1785000000.866667,1785000000.866667,1785000000.866667,,,0.000,,raw,
28,1785000000.900000,0.900000,rgb/1785000000.900000.png,depth/1785000000.900000.png,left/1785000000.900000.png,right/1785000000.900000.png,27,27,27,27,1785000000.900000,1785000000.900000,1785000000.900000,1785000000.900000,,,0.000,,raw,
29,1785000000.933333,0.933333,rgb/1785000000.933333.png,depth/1785000000.933333.png,left/1785000000.933333.png,right/1785000000.933333.png,28,28,28,28,1785000000.933333,1785000000.933333,1785000000.933333,1785000000.933333,,,0.000,,raw,
30,1785000000.966667,0.966667,rgb/1785000000.966667.png,depth/1785000000.966667.png,left/1785000000.966667.png,right/1785000000.966667.png,29,29,29,29,1785000000.966667,1785000000.966667,1785000000.966667,1785000000.966667,,,0.000,,raw,
31,1785000001.000000,1.000000,rgb/1785000001.000000.png,depth/1785000001.000000.png,left/1785000001.000000.png,right/1785000001.000000.png,30,30,30,30,1785000001.000000,1785000001.000000,1785000001.000000,1785000001.000000,,,0.000,,raw,
32,1785000001.033333,1.033333,rgb/1785000001.033333.png,depth/1785000001.033333.png,left/1785000001.033333.png,right/1785000001.033333.png,31,31,31,31,1785000001.033333,1785000001.033333,1785000001.033333,1785000001.033333,,,0.000,,raw,
33,1785000001.066667,1.066667,rgb/1785000001.066667.png,depth/1785000001.066667.png,left/1785000001.066667.png,right/1785000001.066667.png,32,32,32,32,1785000001.066667,1785000001.066667,1785000001.066667,1785000001.066667,,,0.000,,raw,
34,1785000001.100000,1.100000,rgb/1785000001.100000.png,depth/1785000001.100000.png,left/1785000001.100000.png,right/1785000001.100000.png,33,33,33,33,1785000001.100000,1785000001.100000,1785000001.100000,1785000001.100000,,,0.000,,raw,
35,1785000001.133333,1.133333,rgb/1785000001.133333.png,depth/1785000001.133333.png,left/1785000001.133333.png,right/1785000001.133333.png,34,34,34,34,1785000001.133333,1785000001.133333,1785000001.133333,1785000001.133333,,,0.000,,raw,
36,1785000001.166667,1.166667,rgb/1785000001.166667.png,depth/1785000001.166667.png,left/1785000001.166667.png,right/1785000001.166667.png,35,35,35,35,1785000001.166667,1785000001.166667,1785000001.166667,1785000001.166667,,,0.000,,raw,
37,1785000001.200000,1.200000,rgb/1785000001.200000.png,depth/1785000001.200000.png,left/1785000001.200000.png,right/1785000001.200000.png,36,36,36,36,1785000001.200000,1785000001.200000,1785000001.200000,1785000001.200000,,,0.000,,raw,
38,1785000001.233333,1.233333,rgb/1785000001.233333.png,depth/1785000001.233333.png,left/1785000001.233333.png,right/1785000001.233333.png,37,37,37,37,1785000001.233333,1785000001.233333,1785000001.233333,1785000001.233333,,,0.000,,raw,
39,1785000001.266667,1.266667,rgb/1785000001.266667.png,depth/1785000001.266667.png,left/1785000001.266667.png,right/1785000001.266667.png,38,38,38,38,1785000001.266667,1785000001.266667,1785000001.266667,1785000001.266667,,,0.000,,raw,
40,1785000001.300000,1.300000,rgb/1785000001.300000.png,depth/1785000001.300000.png,left/1785000001.300000.png,right/1785000001.300000.png,39,39,39,39,1785000001.300000,1785000001.300000,1785000001.300000,1785000001.300000,,,0.000,,raw,
41,1785000001.333333,1.333333,rgb/1785000001.333333.png,depth/1785000001.333333.png,left/1785000001.333333.png,right/1785000001.333333.png,40,40,40,40,1785000001.333333,1785000001.333333,1785000001.333333,1785000001.333333,,,0.000,,raw,
42,1785000001.366667,1.366667,rgb/1785000001.366667.png,depth/1785000001.366667.png,left/1785000001.366667.png,right/1785000001.366667.png,41,41,41,41,1785000001.366667,1785000001.366667,1785000001.366667,1785000001.366667,,,0.000,,raw,
43,1785000001.400000,1.400000,rgb/1785000001.400000.png,depth/1785000001.400000.png,left/1785000001.400000.png,right/1785000001.400000.png,42,42,42,42,1785000001.400000,1785000001.400000,1785000001.400000,1785000001.400000,,,0.000,,raw,
44,1785000001.433333,1.433333,rgb/1785000001.433333.png,depth/1785000001.433333.png,left/1785000001.433333.png,right/1785000001.433333.png,43,43,43,43,1785000001.433333,1785000001.433333,1785000001.433333,1785000001.433333,,,0.000,,raw,
45,1785000001.466667,1.466667,rgb/1785000001.466667.png,depth/1785000001.466667.png,left/1785000001.466667.png,right/1785000001.466667.png,44,44,44,44,1785000001.466667,1785000001.466667,1785000001.466667,1785000001.466667,,,0.000,,raw,
46,1785000001.500000,1.500000,rgb/1785000001.500000.png,depth/1785000001.500000.png,left/1785000001.500000.png,right/1785000001.500000.png,45,45,45,45,1785000001.500000,1785000001.500000,1785000001.500000,1785000001.500000,,,0.000,,raw,
47,1785000001.533333,1.533333,rgb/1785000001.533333.png,depth/1785000001.533333.png,left/1785000001.533333.png,right/1785000001.533333.png,46,46,46,46,1785000001.533333,1785000001.533333,1785000001.533333,1785000001.533333,,,0.000,,raw,
48,1785000001.566667,1.566667,rgb/1785000001.566667.png,depth/1785000001.566667.png,left/1785000001.566667.png,right/1785000001.566667.png,47,47,47,47,1785000001.566667,1785000001.566667,1785000001.566667,1785000001.566667,,,0.000,,raw,
49,1785000001.600000,1.600000,rgb/1785000001.600000.png,depth/1785000001.600000.png,left/1785000001.600000.png,right/1785000001.600000.png,48,48,48,48,1785000001.600000,1785000001.600000,1785000001.600000,1785000001.600000,,,0.000,,raw,
50,1785000001.633333,1.633333,rgb/1785000001.633333.png,depth/1785000001.633333.png,left/1785000001.633333.png,right/1785000001.633333.png,49,49,49,49,1785000001.633333,1785000001.633333,1785000001.633333,1785000001.633333,,,0.000,,raw,
51,1785000001.666667,1.666667,rgb/1785000001.666667.png,depth/1785000001.666667.png,left/1785000001.666667.png,right/1785000001.666667.png,50,50,50,50,1785000001.666667,1785000001.666667,1785000001.666667,1785000001.666667,,,0.000,,raw,
52,1785000001.700000,1.700000,rgb/1785000001.700000.png,depth/1785000001.700000.png,left/1785000001.700000.png,right/1785000001.700000.png,51,51,51,51,1785000001.700000,1785000001.700000,1785000001.700000,1785000001.700000,,,0.000,,raw,
53,1785000001.733333,1.733333,rgb/1785000001.733333.png,depth/1785000001.733333.png,left/1785000001.733333.png,right/1785000001.733333.png,52,52,52,52,1785000001.733333,1785000001.733333,1785000001.733333,1785000001.733333,,,0.000,,raw,
54,1785000001.766667,1.766667,rgb/1785000001.766667.png,depth/1785000001.766667.png,left/1785000001.766667.png,right/1785000001.766667.png,53,53,53,53,1785000001.766667,1785000001.766667,1785000001.766667,1785000001.766667,,,0.000,,raw,
55,1785000001.800000,1.800000,rgb/1785000001.800000.png,depth/1785000001.800000.png,left/1785000001.800000.png,right/1785000001.800000.png,54,54,54,54,1785000001.800000,1785000001.800000,1785000001.800000,1785000001.800000,,,0.000,,raw,
56,1785000001.833333,1.833333,rgb/1785000001.833333.png,depth/1785000001.833333.png,left/1785000001.833333.png,right/1785000001.833333.png,55,55,55,55,1785000001.833333,1785000001.833333,1785000001.833333,1785000001.833333,,,0.000,,raw,
57,1785000001.866667,1.866667,rgb/1785000001.866667.png,depth/1785000001.866667.png,left/1785000001.866667.png,right/1785000001.866667.png,56,56,56,56,1785000001.866667,1785000001.866667,1785000001.866667,1785000001.866667,,,0.000,,raw,
58,1785000001.900000,1.900000,rgb/1785000001.900000.png,depth/1785000001.900000.png,left/1785000001.900000.png,right/1785000001.900000.png,57,57,57,57,1785000001.900000,1785000001.900000,1785000001.900000,1785000001.900000,,,0.000,,raw,
59,1785000001.933333,1.933333,rgb/1785000001.933333.png,depth/1785000001.933333.png,left/1785000001.933333.png,right/1785000001.933333.png,58,58,58,58,1785000001.933333,1785000001.933333,1785000001.933333,1785000001.933333,,,0.000,,raw,
60,1785000001.966667,1.966667,rgb/1785000001.966667.png,depth/1785000001.966667.png,left/1785000001.966667.png,right/1785000001.966667.png,59,59,59,59,1785000001.966667,1785000001.966667,1785000001.966667,1785000001.966667,,,0.000,,raw,
61,1785000002.000000,2.000000,rgb/1785000002.000000.png,depth/1785000002.000000.png,left/1785000002.000000.png,right/1785000002.000000.png,60,60,60,60,1785000002.000000,1785000002.000000,1785000002.000000,1785000002.000000,,,0.000,,raw,
62,1785000002.033333,2.033333,rgb/1785000002.033333.png,depth/1785000002.033333.png,left/1785000002.033333.png,right/1785000002.033333.png,61,61,61,61,1785000002.033333,1785000002.033333,1785000002.033333,1785000002.033333,,,0.000,,raw,
63,1785000002.066667,2.066667,rgb/1785000002.066667.png,depth/1785000002.066667.png,left/1785000002.066667.png,right/1785000002.066667.png,62,62,62,62,1785000002.066667,1785000002.066667,1785000002.066667,1785000002.066667,,,0.000,,raw,
64,1785000002.100000,2.100000,rgb/1785000002.100000.png,depth/1785000002.100000.png,left/1785000002.100000.png,right/1785000002.100000.png,63,63,63,63,1785000002.100000,1785000002.100000,1785000002.100000,1785000002.100000,,,0.000,,raw,
65,1785000002.133333,2.133333,rgb/1785000002.133333.png,depth/1785000002.133333.png,left/1785000002.133333.png,right/1785000002.133333.png,64,64,64,64,1785000002.133333,1785000002.133333,1785000002.133333,1785000002.133333,,,0.000,,raw,
66,1785000002.166667,2.166667,rgb/1785000002.166667.png,depth/1785000002.166667.png,left/1785000002.166667.png,right/1785000002.166667.png,65,65,65,65,1785000002.166667,1785000002.166667,1785000002.166667,1785000002.166667,,,0.000,,raw,
67,1785000002.200000,2.200000,rgb/1785000002.200000.png,depth/1785000002.200000.png,left/1785000002.200000.png,right/1785000002.200000.png,66,66,66,66,1785000002.200000,1785000002.200000,1785000002.200000,1785000002.200000,,,0.000,,raw,
68,1785000002.233333,2.233333,rgb/1785000002.233333.png,depth/1785000002.233333.png,left/1785000002.233333.png,right/1785000002.233333.png,67,67,67,67,1785000002.233333,1785000002.233333,1785000002.233333,1785000002.233333,,,0.000,,raw,
69,1785000002.266667,2.266667,rgb/1785000002.266667.png,depth/1785000002.266667.png,left/1785000002.266667.png,right/1785000002.266667.png,68,68,68,68,1785000002.266667,1785000002.266667,1785000002.266667,1785000002.266667,,,0.000,,raw,
70,1785000002.300000,2.300000,rgb/1785000002.300000.png,depth/1785000002.300000.png,left/1785000002.300000.png,right/1785000002.300000.png,69,69,69,69,1785000002.300000,1785000002.300000,1785000002.300000,1785000002.300000,,,0.000,,raw,
71,1785000002.333333,2.333333,rgb/1785000002.333333.png,depth/1785000002.333333.png,left/1785000002.333333.png,right/1785000002.333333.png,70,70,70,70,1785000002.333333,1785000002.333333,1785000002.333333,1785000002.333333,,,0.000,,raw,
72,1785000002.366667,2.366667,rgb/1785000002.366667.png,depth/1785000002.366667.png,left/1785000002.366667.png,right/1785000002.366667.png,71,71,71,71,1785000002.366667,1785000002.366667,1785000002.366667,1785000002.366667,,,0.000,,raw,
